stop,route,route_stop,filmed,church_id,name,address,denomination,shot_status,confidence,lat,lon,maps_link,visited,notes
1,Route 01 — North East (5 stops),1,,hs-0064,LAKESHORE DRIVE CHRISTIAN CHURCH,871  WHITTINGTON AVE,Unknown,pending,low,34.514759,-93.073484,"https://www.google.com/maps/dir/?api=1&destination=34.514758689750174,-93.07348412350164",,
2,Route 01 — North East (5 stops),2,,hs-0084,Pullman Heights United Methodist Church,200 Pullman Avenue,Methodist,pending,low,34.532035,-93.049630,"https://www.google.com/maps/dir/?api=1&destination=34.5320345,-93.0496298",,
3,Route 01 — North East (5 stops),3,,hs-0058,Immanuel Christian Fellowship,1536 East Grand Avenue,Unknown,pending,low,34.518214,-93.026845,"https://www.google.com/maps/dir/?api=1&destination=34.5182136,-93.026845",,
4,Route 01 — North East (5 stops),4,,hs-0018,City Life Church of Hot Springs,1555 East Grand Avenue,Nondenominational,pending,low,34.519985,-93.025077,"https://www.google.com/maps/dir/?api=1&destination=34.5199851,-93.0250766",,
5,Route 01 — North East (5 stops),5,,hs-0037,FIRST PENTECOSTAL CH. OF GOD,2341  PARK AVE,Pentecostal,pending,low,34.548503,-93.018428,"https://www.google.com/maps/dir/?api=1&destination=34.54850320499606,-93.01842833881119",,
6,Route 02 — North West (16 stops),1,,hs-0115,The Gospel Temple,,Unknown,pending,low,34.507868,-93.049905,"https://www.google.com/maps/dir/?api=1&destination=34.5078682,-93.0499047",,
7,Route 02 — North West (16 stops),2,,hs-0098,Saint Marys Episcopal Church,,Episcopal,pending,low,34.508427,-93.050179,"https://www.google.com/maps/dir/?api=1&destination=34.508427,-93.0501793",,
8,Route 02 — North West (16 stops),3,,hs-0120,VISITORS CHAPEL AME CHURCH,317  CHURCH ST,Unknown,pending,low,34.508799,-93.050373,"https://www.google.com/maps/dir/?api=1&destination=34.50879919063068,-93.05037321189778",,
9,Route 02 — North West (16 stops),4,,hs-0094,Saint Lukes Episcopal Church,228 Spring Street,Episcopal,pending,medium,34.510481,-93.051958,"https://www.google.com/maps/dir/?api=1&destination=34.5104808,-93.0519579",,
10,Route 02 — North West (16 stops),5,,hs-0093,SAINT LUKE'S PARISH EPISCOPAL,SPRING ST,Episcopal,pending,low,34.510302,-93.052681,"https://www.google.com/maps/dir/?api=1&destination=34.510301678679106,-93.05268120612335",,
11,Route 02 — North West (16 stops),6,,hs-0031,FIRST CHURCH OF CHRIST SCIENTIST,808  CENTRAL AVE,Church of Christ,pending,low,34.509242,-93.054388,"https://www.google.com/maps/dir/?api=1&destination=34.50924195218089,-93.05438849753214",,
12,Route 02 — North West (16 stops),7,,hs-0044,FIRST UNITED METHODIST CHURCH,101  QUAPAW AVE,Methodist,pending,low,34.509786,-93.055818,"https://www.google.com/maps/dir/?api=1&destination=34.50978616883087,-93.05581838813507",,
13,Route 02 — North West (16 stops),8,,hs-0087,ROANOKE BAPTIST CHURCH,313  WHITTINGTON AVE,Baptist,pending,low,34.515865,-93.060104,"https://www.google.com/maps/dir/?api=1&destination=34.51586519893746,-93.06010370168119",,
14,Route 02 — North West (16 stops),9,,hs-0088,Roanoke Baptist Church,236 Whittington Ave,Baptist,pending,low,34.517164,-93.059238,"https://www.google.com/maps/dir/?api=1&destination=34.517164175100454,-93.05923785378658",,
15,Route 02 — North West (16 stops),10,yes,hs-0040,FIRST PRESBYTERIAN CHURCH,217  WHITTINGTON AVE,Presbyterian,filmed,high,34.516947,-93.058274,"https://www.google.com/maps/dir/?api=1&destination=34.5169471676052,-93.05827400760795",,
16,Route 02 — North West (16 stops),11,,hs-0091,ROMAN CATHOLIC DIOCESE OF LR,101  WHITTINGTON AVE,Catholic,pending,low,34.517718,-93.056632,"https://www.google.com/maps/dir/?api=1&destination=34.51771758288566,-93.05663187429434",,
17,Route 02 — North West (16 stops),12,yes,hs-0097,Saint Mary of the Springs Catholic Church,100 Central Avenue,Catholic,filmed,high,34.518213,-93.056337,"https://www.google.com/maps/dir/?api=1&destination=34.5182132,-93.0563366",,
18,Route 02 — North West (16 stops),13,,hs-0110,ST PHILLIPS CHURCH OF GOD IN,237  WALNUT ST,Pentecostal,pending,low,34.518390,-93.061921,"https://www.google.com/maps/dir/?api=1&destination=34.518389614303466,-93.06192074263407",,
19,Route 02 — North West (16 stops),14,,hs-0012,CHURCH OF CHRIST,WALNUT ST,Church of Christ,pending,low,34.518392,-93.061928,"https://www.google.com/maps/dir/?api=1&destination=34.5183923589032,-93.06192784526324",,
20,Route 02 — North West (16 stops),15,,hs-0054,HAVEN UNITED METHODIST CHURCH,655  PARK AVE,Methodist,pending,low,34.525770,-93.053241,"https://www.google.com/maps/dir/?api=1&destination=34.52576977042242,-93.0532411708555",,
