assessor_objectid,parcelid,name,address,adrcity,lat,lon,parcel_count,review_reason
1594867,400-27300-017-000E,ROANOKE BAPTIST CHURCH,313  WHITTINGTON AVE,HOT SPRINGS,34.51586519893746,-93.06010370168119,2,assessor_included_on_map
1594885,400-31000-001-000E,GRAND AVENUE BAPTIST CHURCH,701 E GRAND AVE,HOT SPRINGS,34.51171016799945,-93.04181345553016,2,assessor_included_on_map
1595171,400-45600-020-000,GREATER ST PAUL BAPTIST,497  CRESCENT AVE,HOT SPRINGS,34.503101102938814,-93.03870315681331,3,assessor_included_on_map
1595234,400-26850-002-000,LIVING WATERS CHURCH OF GOD IN,110  DAISY ST,HOT SPRINGS,34.507031672083336,-93.04525136691441,9,assessor_included_on_map
1595378,400-48950-009-000,ANGEL GABRIEL CHURCH OF GOD-CHRIST,155  LEMONS ST,HOT SPRINGS,34.500074541979,-93.04588371062414,4,assessor_included_on_map
1595381,400-48950-018-000E,SIGNS OF LOVE DEAF CHURCH INC,1024  MALVERN AVE,HOT SPRINGS,34.50082071287841,-93.04523589397073,1,assessor_included_on_map
1595503,400-60400-168-000,CHAMPION CHRISTIAN COLLEGE INC,511  RECTOR ST,HOT SPRINGS,34.49869944541698,-93.06615984730975,1,assessor_included_on_map
1595852,400-60400-167-000E,GOSPEL LIGHT BAPTIST CHURCH INC,521  GARLAND AVE,HOT SPRINGS,34.498944311794574,-93.06532955390115,5,assessor_included_on_map
1595879,400-60400-073-000,GOSPEL LIGHT BAPTIST CHURCH INC,600  GARLAND AVE,HOT SPRINGS,34.500345337665486,-93.06511193636607,3,assessor_included_on_map
1595958,400-71200-064-000E,EBENEZER BAPTIST CHURCH,WOOD ST,HOT SPRINGS,34.49944110332478,-93.07680595215609,1,assessor_included_on_map
1596015,400-46500-012-000E,UNITY CHURCH OF GOD IN CHRIST,211  MOUNTAIN VIEW ST,HOT SPRINGS,34.496845682662155,-93.08003352015241,2,assessor_included_on_map
1596175,300-12053-000,RECTOR HEIGHTS BAPTIST CHURCH,116  MASTERS PL,HOT SPRINGS,34.49552337868032,-93.09220162732313,1,assessor_included_on_map
1596443,400-08850-004-000E,SOUTHWEST MISSIONARY BAPTIST,112  DEXTER ST,HOT SPRINGS,34.49041380168513,-93.08213767616799,1,assessor_included_on_map
1596726,400-10700-010-000,COTTRELL CHAPEL CHRISTIAN,698 E GRAND AVE,HOT SPRINGS,34.510500034842124,-93.04051990089465,2,assessor_included_on_map
1596835,400-06200-001-000E,ST MARK MISSIONARY BAPT CHURCH,540  CRESCENT AVE,HOT SPRINGS,34.50483474196648,-93.03988691595869,2,assessor_included_on_map
1597316,400-55100-025-000E,"SOULS HARBOR CHURCH, TRUSTEES",600  CONES RD,HOT SPRINGS,34.49652461230749,-93.0290405635413,1,assessor_included_on_map
1597372,400-59250-001-000C,THE GARAGE CHURCH OF HOT SPRINGS,122  SANFORD ST,HOT SPRINGS,34.50051412153587,-93.05236609949863,2,assessor_included_on_map
1597713,400-46150-006-000E,SAINT PAUL AME CHURCH,332  GARLAND AVE,HOT SPRINGS,34.50010951605481,-93.06242699479388,1,assessor_included_on_map
1598006,300-06753-000E,PENTECOSTAL LIGHT HOUSE CH,712  LEONARD ST,HOT SPRINGS,34.48025073603814,-93.07401079015357,1,assessor_included_on_map
1598266,400-48750-001-000E,FIRST BAPTIST CHURCH OF HOT,CENTRAL & CRESTWOOD,HOT SPRINGS,34.48653713992123,-93.05978833893818,1,assessor_included_on_map
1598364,300-06823-000C,FIRST BAPTIST CHURCH OF HOT,114  CRESTWOOD ST,HOT SPRINGS,34.48804818682049,-93.06005805598211,2,assessor_included_on_map
1600508,300-07749-000E,OAKLAWN CHURCH OF GOD,2110  SEVENTH ST,HOT SPRINGS,34.477272490196945,-93.06929051709987,1,assessor_included_on_map
1600586,400-71600-017-000,LEGACY CHURCH,NORMANDY ST,HOT SPRINGS,34.4702008071369,-93.06245693518821,1,assessor_included_on_map
1600599,400-54850-020-000,FIRST ASSEMBLY OF GOD CHURCH,3520  CENTRAL AVE,HOT SPRINGS,34.46966108023553,-93.05960757628529,1,assessor_included_on_map
1600600,400-71600-003-000,FIRST ASSEMBLY OF GOD CHURCH,204  BROADMOOR ST,HOT SPRINGS,34.469260729352314,-93.06188888798648,1,assessor_included_on_map
1600970,300-07927-000E,NATIONAL PARK CHURCH OF CHRIST,320  LAKESHORE DR,HOT SPRINGS,34.472143176834344,-93.0742535792851,1,assessor_included_on_map
1601440,400-40750-003-000E,LAKESHORE DRIVE CHRISTIAN CHURCH,871  WHITTINGTON AVE,HOT SPRINGS,34.514758689750174,-93.07348412350164,1,assessor_included_on_map
1601789,300-08201-000E,NEW LIFE CHURCH OF ARKANSAS INC,PAKIS ST,HOT SPRINGS,34.46351553623984,-93.05154025498271,2,assessor_included_on_map
1601790,300-08202-000,NEW LIFE CHURCH OF ARKANSAS INC,MARWINETTE & THORNHILL,HOT SPRINGS,34.46328775997455,-93.05305555499791,2,assessor_included_on_map
1601807,400-01950-001-000,CENTRAL CHURCH OF CHRIST,112  MOCKINGBIRD ST,HOT SPRINGS,34.46070095718952,-93.06416258116074,1,assessor_included_on_map
